iter	Passed	Remaining
402	12932	3112
403	12963	3080
404	12996	3048
405	13031	3017
406	13063	2985
407	13094	2952
408	13124	2920
409	13157	2888
410	13187	2855
411	13219	2823
412	13251	2791
413	13280	2758
414	13309	2726
415	13342	2694
416	13374	2662
417	13408	2630
418	13437	2597
419	13469	2565
420	13499	2533
421	13531	2501
422	13565	2469
423	13595	2436
424	13622	2404
425	13657	2372
426	13686	2339
427	13716	2307
428	13745	2274
429	13777	2242
430	13806	2210
431	13837	2178
432	13869	2146
433	13899	2113
434	13929	2081
435	13961	2049
436	13991	2017
437	14021	1984
438	14054	1952
439	14084	1920
440	14116	1888
441	14146	1856
442	14177	1824
443	14208	1792
444	14239	1759
445	14270	1727
446	14300	1695
447	14329	1663
448	14364	1631
449	14395	1599
450	14427	1567
451	14459	1535
452	14488	1503
453	14518	1471
454	14550	1439
455	14583	1407
456	14613	1374
457	14645	1342
458	14675	1310
459	14706	1278
460	14734	1246
461	14763	1214
462	14793	1182
463	14825	1150
464	14856	1118
465	14887	1086
466	14916	1054
467	14948	1022
468	14980	990
469	15011	958
470	15041	926
471	15072	894
472	15101	862
473	15130	829
474	15163	798
475	15194	766
476	15226	734
477	15257	702
478	15288	670
479	15319	638
480	15351	606
481	15380	574
482	15411	542
483	15440	510
484	15470	478
485	15503	446
486	15535	414
487	15565	382
488	15596	350
489	15625	318
490	15657	287
491	15688	255
492	15718	223
493	15748	191
494	15782	159
495	15812	127
496	15843	95
497	15874	63
498	15905	31
499	15939	0
