iter	Passed	Remaining
401	14736	3592
402	14771	3555
403	14809	3518
404	14844	3482
405	14881	3445
406	14918	3408
407	14954	3372
408	14991	3335
409	15027	3298
410	15062	3261
411	15099	3225
412	15135	3188
413	15170	3151
414	15207	3114
415	15243	3078
416	15278	3041
417	15314	3004
418	15349	2967
419	15386	2930
420	15423	2894
421	15457	2857
422	15490	2819
423	15526	2782
424	15560	2745
425	15595	2709
426	15632	2672
427	15665	2635
428	15699	2598
429	15736	2561
430	15771	2524
431	15806	2488
432	15842	2451
433	15879	2414
434	15913	2377
435	15950	2341
436	15984	2304
437	16018	2267
438	16053	2230
439	16091	2194
440	16127	2157
441	16161	2120
442	16196	2083
443	16231	2047
444	16265	2010
445	16300	1973
446	16334	1936
447	16367	1899
448	16400	1862
449	16436	1826
450	16471	1789
451	16505	1752
452	16540	1716
453	16574	1679
454	16608	1642
455	16644	1606
456	16680	1569
457	16716	1532
458	16751	1496
459	16785	1459
460	16819	1422
461	16856	1386
462	16891	1349
463	16927	1313
464	16960	1276
465	16994	1239
466	17029	1203
467	17065	1166
468	17099	1130
469	17133	1093
470	17169	1057
471	17205	1020
472	17240	984
473	17275	947
474	17310	911
475	17347	874
476	17382	838
477	17416	801
478	17451	765
479	17487	728
480	17524	692
481	17558	655
482	17593	619
483	17630	582
484	17664	546
485	17699	509
486	17734	473
487	17768	436
488	17804	400
489	17838	364
490	17874	327
491	17908	291
492	17943	254
493	17977	218
494	18011	181
495	18046	145
496	18080	109
497	18115	72
498	18148	36
499	18184	0
